Course,ID,Type
Economics,110104093.0,Core
Economics,110105093.0,Core
Economics,130106001.0,Core
Economics,109104182.0,Core
Economics,110105153.0,Core
Economics,110107153.0,Core
Economics,110106165.0,Core
Economics,110103093.0,Core
Economics,110104918.0,Core
Marketing,110104068.0,Core
Marketing,110104070.0,Core
Marketing,110105074.0,Core
Marketing,110107080.0,Core
Operations,111106112.0,Core
Operations,110104094.0,Core
Operations,110106062.0,Core
Operations,126105663.0,Core
Operations,110106045.0,Core
Operations,110106072.0,Core
Operations,110107114.0,Core
Operations,110107430.0,Core
Operations,110105755.0,Core
Managerial Economics,110105075.0,Core
Managerial Economics,110101149.0,Core
Managerial Economics,109104125.0,Core
Managerial Economics,110104093.0,Core
Managerial Economics,110107509.0,Core
Minor,110106062.0,Core
Minor,110104068.0,Core
Minor,110106045.0,Core
Minor,110101131.0,Core
Minor,110106135.0,Core
Minor,110106147.0,Core
Minor,110105146.0,Core
Minor,110107150.0,Core
Patents and Intellectual Property Rights,110106081.0,Core
Patents and Intellectual Property Rights,110105140.0,Core
Patents and Intellectual Property Rights,109106128.0,Core
Patents and Intellectual Property Rights,127105008.0,Core
Economics & Finance,109104125.0,Core
Economics & Finance,110104093.0,Core
Economics & Finance,112107260.0,Core
Economics & Finance,110105144.0,Core
Economics & Finance,110106511.0,Core
Economics & Finance,110104918.0,Core
Human Resource Management,110105069.0,Core
Human Resource Management,110107151.0,Core
Human Resource Management,110107921.0,Core
Human Resource Management,110103433.0,Core
Human Resource Management,110106145.0,Core
Human Resource Management,110105154.0,Core
Human Resource Management,110101146.0,Core
Computational Engineering,112106286.0,Core
Computational Engineering,127106019.0,Core
Computational Engineering,112104193.0,Core
Computational Engineering,101104074.0,Core
Computational Engineering,112103295.0,Core
Computational Thermo Fluids,112105269.0,Core
Computational Thermo Fluids,112105218.0,Core
Computational Thermo Fluids,112105287.0,Core
Computational Thermo Fluids,112103302.0,Core
Computational Thermo Fluids,112106768.0,Core
Computational Thermo Fluids,101104808.0,Core
Computational Thermo Fluids,103108123.0,Core
Computational Thermo Fluids,112104313.0,Core
Computational Thermo Fluids,112105771.0,Core
Computational Thermo Fluids,112101907.0,Core
Computational Thermo Fluids,111107105.0,Core
Computational Thermo Fluids,103106119.0,Core
Computational Thermo Fluids,112106186.0,Core
